,Name,storage,price,Status
0,pixel 7,128GB,998.64,Contract
1,pixel 7a,128GB,748.8,Contract
2,galaxy s23,256GB,1448.64,Contract
3,galaxy s23,128GB,1348.56,Contract
4,galaxy a14 5g,128GB,378.72,Contract
5,galaxy a05s,128GB,36.0,Contract
6,a78 5g,128GB,360.0,Contract
7,galaxy a34 5g,128GB,598.32,Contract
8,pixel 8 pro,256GB,1798.56,Contract
9,pixel 8 pro,128GB,1698.48,Contract
10,galaxy s23 fe,256GB,1098.72,Contract
11,galaxy s23 fe,128GB,998.64,Contract
12,galaxy s22,256GB,1248.48,Contract
13,galaxy s22,128GB,1148.4,Contract
14,find x5 pro,256GB,1798.56,Contract
15,oppo a54 5g,64GB,398.88,Contract
16,iphone 12,128GB,1078.56,Contract
17,iphone 12,64GB,998.64,Contract
18,iphone 14 plus,512GB,2048.4,Contract
19,iphone 14 plus,256GB,1698.48,Contract
20,iphone 14 plus,128GB,1498.32,Contract
21,find x5 lite,256GB,698.4,Contract
22,iphone 15,512GB,2048.4,Contract
23,iphone 15,256GB,1698.48,Contract
24,iphone 15,128GB,1498.32,Contract
25,iphone 15 pro max,1TB,2898.72,Contract
26,iphone 15 pro max,512GB,2548.8,Contract
27,iphone 15 pro max,256GB,2198.88,Contract
28,galaxy a13,128GB,328.32,Contract
29,galaxy s21 ultra 5g,128GB,1848.96,Contract
30,galaxy a33 5g,128GB,598.32,Contract
31,iphone 15 pro,1TB,2748.96,Contract
32,iphone 15 pro,512GB,2398.32,Contract
33,iphone 15 pro,256GB,2048.4,Contract
34,iphone 15 pro,128GB,1848.96,Contract
35,a71 5g,64GB,278.64,Contract
36,iphone 15 plus,512GB,2198.88,Contract
37,iphone 15 plus,256GB,1848.96,Contract
38,iphone 15 plus,128GB,1648.8,Contract
39,galaxy a54 5g,128GB,698.4,Contract
40,moto g54,128GB,278.64,Contract
41,galaxy flip4,512GB,1848.96,Contract
42,galaxy flip4,256GB,1648.8,Contract
43,galaxy flip4,128GB,1498.32,Contract
44,galaxy s22 ultra,128GB,1798.56,Contract
45,iphone 11,128GB,758.88,Contract
46,iphone 11,64GB,678.96,Contract
47,galaxy s23 ultra,1TB,2648.88,Contract
48,galaxy s23 ultra,512GB,2248.56,Contract
49,galaxy s23 ultra,256GB,1948.32,Contract
50,galaxy a14 4g,128GB,328.32,Contract
51,iphone 14 pro max,256GB,2098.8,Contract
52,g62,128GB,398.88,Contract
53,galaxy a52s 5g,128GB,648.72,Contract
54,galaxy fold5,512GB,2798.64,Contract
55,galaxy fold5,256GB,2598.48,Contract
56,galaxy s21 fe,128GB,948.96,Contract
57,galaxy fold4,512GB,2698.56,Contract
58,galaxy fold4,256GB,2498.4,Contract
59,galaxy a53 5g,128GB,698.4,Contract
60,iphone 14,512GB,1848.96,Contract
61,iphone 14,256GB,1498.32,Contract
62,iphone 14,128GB,1298.88,Contract
63,pixel 8,128GB,1198.8,Contract
64,galaxy s21 5g,128GB,1248.48,Contract
65,galaxy a15 5g,128GB,36.0,Contract
66,pixel 7 pro,128GB,1298.88,Contract
67,iphone se 3rd gen,128GB,798.48,Contract
68,iphone se 3rd gen,64GB,718.56,Contract
69,iphone 13,256GB,1298.88,Contract
70,iphone 13,128GB,1098.72,Contract
71,galaxy s23 plus,512GB,1848.96,Contract
72,galaxy s23 plus,256GB,1648.8,Contract
73,galaxy z fold 3,256GB,2498.4,Contract
74,galaxy flip5,512GB,1848.96,Contract
75,galaxy flip5,256GB,1648.8,Contract
