,Name,storage,price,Status
0,samsung galaxy z flip5 5g,256GB,1648.8,Contract
1,samsung galaxy z flip5 5g,512GB,1848.96,Contract
2,oppo find x5 5g,256GB,1198.8,Contract
3,samsung galaxy s24,256GB,1398.96,Contract
4,samsung galaxy s24,512GB,1598.76,Contract
5,samsung galaxy s24 ultra,256GB,2198.88,Contract
6,samsung galaxy s24 ultra,512GB,2398.68,Contract
7,samsung galaxy s24 ultra,1TB,2799.0,Contract
8,google pixel 6 pro,128GB,998.64,Contract
9,google pixel 6 pro,256GB,1148.76,Contract
10,oppo a38 4g,128GB,72.0,Contract
11,samsung galaxy z flip4 5g,128GB,1498.68,Contract
12,samsung galaxy z flip4 5g,256GB,1648.8,Contract
13,samsung galaxy z flip4 5g,512GB,1848.96,Contract
14,iphone 15,128GB,1498.68,Contract
15,iphone 15,256GB,1698.84,Contract
16,iphone 15,512GB,2048.76,Contract
17,samsung galaxy s23 fe 5g,128GB,999.0,Contract
18,samsung galaxy a34 5g,128GB,598.68,Contract
19,motorola moto e13 4g,64GB,148.68,Contract
20,iphone 12,64GB,999.0,Contract
21,iphone 12,128GB,1078.92,Contract
22,iphone 12,256GB,1278.72,Contract
23,samsung galaxy a14 5g,128GB,378.72,Contract
24,iphone 14,128GB,1298.88,Contract
25,iphone 14,256GB,1498.68,Contract
26,iphone 14,512GB,1848.96,Contract
27,iphone 15 pro max,256GB,2048.76,Contract
28,iphone 15 pro max,512GB,2398.68,Contract
29,iphone 15 pro max,1TB,2748.6,Contract
30,google pixel 8,128GB,848.52,Contract
31,google pixel 8,256GB,948.6,Contract
32,motorola moto g14 4g,128GB,198.72,Contract
33,samsung galaxy z fold4 5g,256GB,2498.76,Contract
34,samsung galaxy z fold4 5g,512GB,2698.92,Contract
35,iphone 15 plus,128GB,1648.8,Contract
36,iphone 15 plus,256GB,1848.96,Contract
37,iphone 15 plus,512GB,2198.88,Contract
38,iphone 15 pro,128GB,1698.84,Contract
39,iphone 15 pro,256GB,1898.64,Contract
40,iphone 15 pro,512GB,2248.56,Contract
41,iphone 15 pro,1TB,2598.84,Contract
42,samsung galaxy z fold5 5g,256GB,2598.84,Contract
43,samsung galaxy z fold5 5g,512GB,2799.0,Contract
44,samsung galaxy z fold5 5g,1TB,3148.92,Contract
45,google pixel 8 pro,128GB,1248.84,Contract
46,google pixel 8 pro,256GB,1348.92,Contract
47,samsung galaxy s24plus,256GB,1698.84,Contract
48,samsung galaxy s24plus,512GB,1899.0,Contract
49,samsung galaxy a05s 4g,64GB,72.0,Contract
50,motorola edge 30 pro 5g,128GB,999.0,Contract
51,samsung galaxy s23 ultra 5g,256GB,1948.68,Contract
52,samsung galaxy s23 ultra 5g,512GB,2248.92,Contract
53,samsung galaxy s23 ultra 5g,1TB,2598.84,Contract
54,samsung galaxy s23 5g,128GB,1198.8,Contract
55,samsung galaxy s23 5g,256GB,1298.88,Contract
56,motorola edge 30 5g,128GB,698.76,Contract
57,Samsung Galaxy A13 5G,,379.00,Prepaid
58,V One 4G,,39.00,Prepaid
59,V Smart 4G,,59.00,Prepaid
60,Nokia 110 4G,,69.00,Prepaid
61,Nokia G21 4G,,99.00,Prepaid
62,OPPO A38 4G,,169.00,Prepaid
63,Motorola moto g14 4G,,199.00,Prepaid
64,Motorola moto e13 4G,,149.00,Prepaid
65,V Lite 4G,,49.00,Prepaid
66,V Pro 4G,,79.00,Prepaid
67,Nokia C02 4G,,129.00,Prepaid
